time,D mode,R or A mode,Total
946684800000.0,0.08483912223164879,0.0,0.08483912223164879
949363200000.0,0.09813480556645943,0.0,0.09813480556645943
951868800000.0,0.10826485001202943,0.0,0.10826485001202943
954547200000.0,0.12219366112468819,0.0,0.12219366112468819
957139200000.0,0.14308687779367632,0.0,0.14308687779367632
959817600000.0,0.1627138389069682,0.0006331277778481254,0.16334696668481632
962409600000.0,0.18677269446519695,0.0006331277778481254,0.18740582224304508
965088000000.0,0.20829903891203322,0.0006331277778481254,0.20893216668988135
967766400000.0,0.24058855558228762,0.0006331277778481254,0.24122168336013575
970358400000.0,0.29123877781013763,0.0012662555556962507,0.2925050333658339
973036800000.0,0.338723361148747,0.0012662555556962507,0.3399896167044433
975628800000.0,0.38620794448735646,0.0012662555556962507,0.38747420004305266
978307200000.0,0.4349587833816621,0.0012662555556962507,0.4362250389373583
980985600000.0,0.4805439833867271,0.0012662555556962507,0.48181023894242336
983404800000.0,0.5248629278360959,0.0012662555556962507,0.5261291833917922
986083200000.0,0.5748800222860978,0.0012662555556962507,0.5761462778417941
988675200000.0,0.6191989667354666,0.0012662555556962507,0.6204652222911629
991353600000.0,0.6597191445177466,0.0012662555556962507,0.6609854000734429
993945600000.0,0.6958074278550898,0.0018993833335443759,0.6977068111886341
996624000000.0,0.7337950945259772,0.005698150000633128,0.7394932445266104
999302400000.0,0.7711496334190167,0.009496916667721879,0.7806465500867386
1001894400000.0,0.828764261203196,0.013295683334810631,0.8420599445380067
1004572800000.0,0.8781482278753499,0.017094450001899384,0.8952426778772492
1007164800000.0,0.9275321945475036,0.020893216668988135,0.9484254112164917
1009843200000.0,0.9781824167753536,0.025958238891773136,1.0041406556671268
1012521600000.0,1.01996885011333,0.02849075000316564,1.0484596001164954
1014940800000.0,1.0940448001215606,0.03228951667025439,1.126334316791815
1017619200000.0,1.2080078001342232,0.036088283337343145,1.2440960834715662
1020211200000.0,1.3365327390373924,0.043052688893672524,1.379585427931065
1022889600000.0,1.4637914223848658,0.04685145556076127,1.510642877945627
1025481600000.0,1.6100439390677828,0.050650222227850025,1.6606941612956327
1028160000000.0,1.753130816861459,0.05444898889493878,1.8075798057563977
1030838400000.0,1.9025489724336166,0.05824775556202753,1.960796727995644
1033430400000.0,2.0544996391171666,0.06204652222911628,2.116546161346283
1036108800000.0,2.2115153280235016,0.06584528889620503,2.2773606169197067
1038700800000.0,2.3603003558178113,0.06964405556329378,2.429944411381105
1041379200000.0,2.5179491725019942,0.07344282223038254,2.5913919947323767
1044057600000.0,2.6654679447406076,0.07724158889747129,2.7427095336380787
1046476800000.0,2.823116761424791,0.08104035556456005,2.9041571169893508
1049155200000.0,2.977599939219733,0.08483912223164879,3.062439061451382
1051747200000.0,3.152976333683664,0.08863788889873754,3.2416142225824016
1054425600000.0,3.3353171337039242,0.0924366555658263,3.4277537892697505
1057017600000.0,3.5125929115013994,0.09623542223291505,3.6088283337343143
1059696000000.0,3.684170539298241,0.1000341889000038,3.784204728198245
1062374400000.0,3.849416889316602,0.10383295556709254,3.9532498448836946
1064966400000.0,4.017195750446355,0.1076317222341813,4.124827472680536
1067644800000.0,4.17104580046345,0.11143048890127005,4.28247628936472
1070236800000.0,4.322363339369152,0.11332987223481443,4.435693211603966
1072915200000.0,4.475580261608398,0.11712863890190318,4.592708900510301
1075593600000.0,4.631329694959037,0.11712863890190318,4.74845833386094
1078099200000.0,4.821268028313474,0.11712863890190318,4.938396667215377
1080777600000.0,5.006141339445127,0.11712863890190318,5.12326997834703
1083369600000.0,5.190381522798932,0.11712863890190318,5.307510161700835
1086048000000.0,5.37968672837552,0.1177617666797513,5.497448495055272
1088640000000.0,5.582920745064769,0.11902802223544756,5.701948767300217
1091318400000.0,5.81907740620212,0.11902802223544756,5.938105428437567
1093996800000.0,6.045737150671749,0.11902802223544756,6.164765172907196
1096588800000.0,6.276195661808466,0.11902802223544756,6.395223684043914
1099267200000.0,6.506654172945184,0.11902802223544756,6.625682195180631
1101859200000.0,6.74787585630532,0.11902802223544756,6.866903878540767
1104537600000.0,6.9960619452217845,0.11902802223544756,7.115089967457232
1107216000000.0,7.225887328580654,0.11902802223544756,7.344915350816102
1109635200000.0,7.472807161941423,0.11902802223544756,7.591835184176871
1112313600000.0,7.7241588897471285,0.11902802223544756,7.843186911982576
1114905600000.0,8.009066389778786,0.12092740556899194,8.129993795347778
1117584000000.0,8.301571423144619,0.12345991668038443,8.425031339825004
1120176000000.0,8.637762273181973,0.12345991668038443,8.761222189862359
1122854400000.0,8.96635558988515,0.12345991668038443,9.089815506565536
1125532800000.0,9.289250756587695,0.12345991668038443,9.412710673268078
1128124800000.0,9.630506628847835,0.12345991668038443,9.753966545528218
1130803200000.0,9.973661884441517,0.12472617223608068,10.0983880566776
1133395200000.0,10.335810973370645,0.1272586833474732,10.463069656718119
1136073600000.0,10.698593190077622,0.1323237055702582,10.83091689564788
1138752000000.0,11.015157079001684,0.13612247223734694,11.151279551239032
1141171200000.0,11.376673040152964,0.1399212389044357,11.516594279057399
1143849600000.0,11.719828295746648,0.14372000557152445,11.863548301318172
1146441600000.0,12.08387676800932,0.14625251668291694,12.230129284692236
1149120000000.0,12.46881845694098,0.14941815557215757,12.618236612513137
1151712000000.0,12.853127018094792,0.15195066668355006,13.005077684778342
1154390400000.0,13.226039279247338,0.15385005001709445,13.379889329264433
1157068800000.0,13.579324579286592,0.15574943335063882,13.73507401263723
1159660800000.0,13.943373051549264,0.15828194446203134,14.101654996011295
1162339200000.0,14.314385929368266,0.1601813277955757,14.47456725716384
