time,D mode,R or A mode,Total
1225497600000.0,578.0,4.0,582.0
1228089600000.0,655.0,1.0,656.0
1230768000000.0,636.0,0.0,636.0
1233446400000.0,568.0,8.0,576.0
1235865600000.0,673.0,1.0,674.0
1238544000000.0,645.0,2.0,647.0
1241136000000.0,691.0,0.0,691.0
1243814400000.0,643.0,0.0,643.0
1246406400000.0,640.0,2.0,642.0
1249084800000.0,626.0,1.0,627.0
1251763200000.0,592.0,1.0,593.0
1254355200000.0,601.0,0.0,601.0
1257033600000.0,556.0,0.0,556.0
1259625600000.0,628.0,4.0,632.0
1262304000000.0,630.0,5.0,635.0
1264982400000.0,562.0,2.0,564.0
1267401600000.0,620.0,10.0,630.0
1270080000000.0,572.0,14.0,586.0
1272672000000.0,587.0,22.0,609.0
1275350400000.0,584.0,7.0,591.0
1277942400000.0,592.0,6.0,598.0
1280620800000.0,558.0,6.0,564.0
1283299200000.0,545.0,6.0,551.0
1285891200000.0,603.0,6.0,609.0
1288569600000.0,566.0,6.0,572.0
1291161600000.0,600.0,9.0,609.0
1293840000000.0,580.0,9.0,589.0
1296518400000.0,501.0,8.0,509.0
1298937600000.0,547.0,10.0,557.0
1301616000000.0,534.0,9.0,543.0
1304208000000.0,570.0,9.0,579.0
1306886400000.0,554.0,13.0,567.0
1309478400000.0,593.0,15.0,608.0
1312156800000.0,625.0,15.0,640.0
1314835200000.0,586.0,15.0,601.0
1317427200000.0,584.0,15.0,599.0
1320105600000.0,619.0,15.0,634.0
1322697600000.0,651.0,17.0,668.0
1325376000000.0,642.0,15.0,657.0
1328054400000.0,621.0,14.0,635.0
1330560000000.0,698.0,13.0,711.0
1333238400000.0,677.0,15.0,692.0
1335830400000.0,693.0,16.0,709.0
1338508800000.0,655.0,19.0,674.0
1341100800000.0,758.0,30.0,788.0
1343779200000.0,712.0,29.0,741.0
1346457600000.0,701.0,24.0,725.0
1349049600000.0,770.0,30.0,800.0
1351728000000.0,823.0,21.0,844.0
1354320000000.0,878.0,21.0,899.0
1356998400000.0,857.0,22.0,879.0
1359676800000.0,821.0,30.0,851.0
1362096000000.0,915.0,22.0,937.0
1364774400000.0,968.0,27.0,995.0
1367366400000.0,1079.0,26.0,1105.0
1370044800000.0,1076.0,74.0,1150.0
1372636800000.0,1019.0,56.0,1075.0
1375315200000.0,949.0,50.0,999.0
1377993600000.0,899.0,48.0,947.0
1380585600000.0,863.0,330.0,1193.0
1383264000000.0,815.0,204.0,1019.0
1385856000000.0,889.0,51.0,940.0
1388534400000.0,868.0,67.0,935.0
1391212800000.0,837.0,85.0,922.0
1393632000000.0,903.0,89.0,992.0
1396310400000.0,851.0,75.0,926.0
1398902400000.0,876.0,64.0,940.0
1401580800000.0,893.0,75.0,968.0
1404172800000.0,971.0,117.0,1088.0
1406851200000.0,928.0,70.0,998.0
1409529600000.0,895.0,69.0,964.0
1412121600000.0,895.0,105.0,1000.0
1414800000000.0,883.0,97.0,980.0
1417392000000.0,1015.0,102.0,1117.0
1420070400000.0,1067.0,132.0,1199.0
1422748800000.0,1036.0,129.0,1165.0
1425168000000.0,1181.0,112.0,1293.0
1427846400000.0,1218.0,91.0,1309.0
1430438400000.0,1540.0,88.0,1628.0
1433116800000.0,1351.0,85.0,1436.0
1435708800000.0,1347.0,87.0,1434.0
1438387200000.0,1294.0,79.0,1373.0
1441065600000.0,1276.0,82.0,1358.0
1443657600000.0,1366.0,101.0,1467.0
1446336000000.0,1413.0,93.0,1506.0
1448928000000.0,1469.0,103.0,1572.0
1451606400000.0,1358.0,113.0,1471.0
1454284800000.0,1223.0,88.0,1311.0
1456790400000.0,1279.0,83.0,1362.0
1459468800000.0,1282.0,67.0,1349.0
1462060800000.0,1294.0,64.0,1358.0
1464739200000.0,1243.0,71.0,1314.0
1467331200000.0,1247.0,51.0,1298.0
1470009600000.0,1217.0,38.0,1255.0
1472688000000.0,1213.0,40.0,1253.0
1475280000000.0,1385.0,32.0,1417.0
1477958400000.0,1361.0,27.0,1388.0
1480550400000.0,1403.0,25.0,1428.0
1483228800000.0,1412.0,36.0,1448.0
1485907200000.0,1284.0,70.0,1354.0
1488326400000.0,1331.0,56.0,1387.0
1491004800000.0,1368.0,96.0,1464.0
1493596800000.0,1334.0,100.0,1434.0
1496275200000.0,1304.0,77.0,1381.0
1498867200000.0,1264.0,69.0,1333.0
1501545600000.0,1352.0,64.0,1416.0
1504224000000.0,1310.0,71.0,1381.0
1506816000000.0,1316.0,56.0,1372.0
1509494400000.0,1128.0,54.0,1182.0
1512086400000.0,1171.0,57.0,1228.0
1514764800000.0,1128.0,71.0,1199.0
1517443200000.0,984.0,69.0,1053.0
1519862400000.0,1011.0,90.0,1101.0
1522540800000.0,996.0,87.0,1083.0
1525132800000.0,973.0,115.0,1088.0
1527811200000.0,960.0,139.0,1099.0
1530403200000.0,825.0,134.0,959.0
1533081600000.0,935.0,145.0,1080.0
1535760000000.0,943.0,153.0,1096.0
1538352000000.0,1116.0,271.0,1387.0
1541030400000.0,900.0,307.0,1207.0
1543622400000.0,878.0,296.0,1174.0
1546300800000.0,848.0,285.0,1133.0
1548979200000.0,784.0,343.0,1127.0
1551398400000.0,961.0,497.0,1458.0
1554076800000.0,846.0,497.0,1343.0
1556668800000.0,815.0,388.0,1203.0
1559347200000.0,760.0,426.0,1186.0
1561939200000.0,736.0,424.0,1160.0
1564617600000.0,769.0,439.0,1208.0
1567296000000.0,728.0,452.0,1180.0
1569888000000.0,714.0,561.0,1275.0
1572566400000.0,611.0,631.0,1242.0
1575158400000.0,594.0,696.0,1290.0
1577836800000.0,557.0,592.0,1149.0
1580515200000.0,420.0,761.0,1181.0
1583020800000.0,417.0,920.0,1337.0
1585699200000.0,384.0,869.0,1253.0
1588291200000.0,394.0,755.0,1149.0
1590969600000.0,378.0,671.0,1049.0
1593561600000.0,401.0,724.0,1125.0
1596240000000.0,376.0,680.0,1056.0
1598918400000.0,278.0,719.0,997.0
1601510400000.0,273.0,807.0,1080.0
1604188800000.0,252.0,766.0,1018.0
1606780800000.0,252.0,801.0,1053.0
1609459200000.0,228.0,764.0,992.0
1612137600000.0,203.0,773.0,976.0
1614556800000.0,140.0,1185.0,1325.0
1617235200000.0,16.0,1564.0,1580.0
1619827200000.0,12.0,1437.0,1449.0
1622505600000.0,7.0,1436.0,1443.0
1625097600000.0,3.0,1295.0,1298.0
1627776000000.0,4.0,1279.0,1283.0
1630454400000.0,0.0,1204.0,1204.0
