time,D mode,R or A mode,Total
946684800000.0,35.0,0.0,35.0
949363200000.0,21.0,0.0,21.0
951868800000.0,16.0,0.0,16.0
954547200000.0,22.0,0.0,22.0
957139200000.0,33.0,0.0,33.0
959817600000.0,31.0,1.0,32.0
962409600000.0,38.0,0.0,38.0
965088000000.0,34.0,0.0,34.0
967766400000.0,51.0,0.0,51.0
970358400000.0,80.0,1.0,81.0
973036800000.0,75.0,0.0,75.0
975628800000.0,75.0,0.0,75.0
978307200000.0,77.0,0.0,77.0
980985600000.0,72.0,0.0,72.0
983404800000.0,70.0,0.0,70.0
986083200000.0,79.0,0.0,79.0
988675200000.0,70.0,0.0,70.0
991353600000.0,64.0,0.0,64.0
993945600000.0,57.0,1.0,58.0
996624000000.0,60.0,6.0,66.0
999302400000.0,59.0,6.0,65.0
1001894400000.0,91.0,6.0,97.0
1004572800000.0,78.0,6.0,84.0
1007164800000.0,78.0,6.0,84.0
1009843200000.0,80.0,8.0,88.0
1012521600000.0,66.0,4.0,70.0
1014940800000.0,117.0,6.0,123.0
1017619200000.0,180.0,6.0,186.0
1020211200000.0,203.0,13.0,216.0
1022889600000.0,201.0,6.0,207.0
1025481600000.0,231.0,6.0,237.0
1028160000000.0,226.0,6.0,232.0
1030838400000.0,236.0,6.0,242.0
1033430400000.0,240.0,6.0,246.0
1036108800000.0,249.0,6.0,255.0
1038700800000.0,235.0,6.0,241.0
1041379200000.0,249.0,6.0,255.0
1044057600000.0,233.0,6.0,239.0
1046476800000.0,249.0,6.0,255.0
1049155200000.0,244.0,6.0,250.0
1051747200000.0,277.0,6.0,283.0
1054425600000.0,288.0,6.0,294.0
1057017600000.0,280.0,6.0,286.0
1059696000000.0,271.0,6.0,277.0
1062374400000.0,261.0,6.0,267.0
1064966400000.0,265.0,6.0,271.0
1067644800000.0,243.0,6.0,249.0
1070236800000.0,239.0,3.0,242.0
1072915200000.0,242.0,6.0,248.0
1075593600000.0,246.0,0.0,246.0
1078099200000.0,300.0,0.0,300.0
1080777600000.0,292.0,0.0,292.0
1083369600000.0,291.0,0.0,291.0
1086048000000.0,299.0,1.0,300.0
1088640000000.0,321.0,2.0,323.0
1091318400000.0,373.0,0.0,373.0
1093996800000.0,358.0,0.0,358.0
1096588800000.0,364.0,0.0,364.0
1099267200000.0,364.0,0.0,364.0
1101859200000.0,381.0,0.0,381.0
1104537600000.0,392.0,0.0,392.0
1107216000000.0,363.0,0.0,363.0
1109635200000.0,390.0,0.0,390.0
1112313600000.0,397.0,0.0,397.0
1114905600000.0,450.0,3.0,453.0
1117584000000.0,462.0,4.0,466.0
1120176000000.0,531.0,0.0,531.0
1122854400000.0,519.0,0.0,519.0
1125532800000.0,510.0,0.0,510.0
1128124800000.0,539.0,2.0,541.0
1130803200000.0,543.0,2.0,545.0
1133395200000.0,576.0,5.0,581.0
1136073600000.0,574.0,10.0,584.0
1138752000000.0,500.0,6.0,506.0
1141171200000.0,572.0,6.0,578.0
1143849600000.0,542.0,7.0,549.0
1146441600000.0,576.0,3.0,579.0
1149120000000.0,608.0,5.0,613.0
1151712000000.0,607.0,5.0,612.0
1154390400000.0,589.0,6.0,595.0
1157068800000.0,558.0,6.0,564.0
1159660800000.0,575.0,8.0,583.0
1162339200000.0,586.0,4.0,590.0
1164931200000.0,623.0,3.0,626.0
1167609600000.0,674.0,4.0,678.0
1170288000000.0,624.0,5.0,629.0
1172707200000.0,692.0,4.0,696.0
1175385600000.0,667.0,4.0,671.0
1177977600000.0,675.0,5.0,680.0
1180656000000.0,632.0,6.0,638.0
1183248000000.0,635.0,5.0,640.0
1185926400000.0,620.0,14.0,634.0
1188604800000.0,590.0,11.0,601.0
1191196800000.0,600.0,7.0,607.0
1193875200000.0,546.0,33.0,579.0
1196467200000.0,549.0,13.0,562.0
1199145600000.0,563.0,15.0,578.0
1201824000000.0,530.0,12.0,542.0
1204329600000.0,597.0,6.0,603.0
1207008000000.0,586.0,4.0,590.0
1209600000000.0,590.0,3.0,593.0
1212278400000.0,596.0,6.0,602.0
1214870400000.0,656.0,3.0,659.0
1217548800000.0,647.0,13.0,660.0
1220227200000.0,606.0,2.0,608.0
1222819200000.0,615.0,1.0,616.0
