time,D mode,R or A mode,Total
946684800000.0,0.04684970683970757,0.0,0.04684970683970757
949363200000.0,0.05419182507578115,0.0,0.05419182507578115
951868800000.0,0.059785819922313396,0.0,0.059785819922313396
954547200000.0,0.06747756283629523,0.0,0.06747756283629523
957139200000.0,0.079015177207268,0.0,0.079015177207268
959817600000.0,0.08985354222242423,0.0003496246779082655,0.09020316690033249
962409600000.0,0.10313927998293831,0.0003496246779082655,0.10348890466084658
965088000000.0,0.11502651903181935,0.0003496246779082655,0.11537614370972761
967766400000.0,0.13285737760514088,0.0003496246779082655,0.13320700228304916
970358400000.0,0.1608273518378021,0.000699249355816531,0.16152660119361864
973036800000.0,0.18704920268092204,0.000699249355816531,0.18774845203673857
975628800000.0,0.21327105352404194,0.000699249355816531,0.21397030287985846
978307200000.0,0.2401921537229784,0.000699249355816531,0.24089140307879492
980985600000.0,0.2653651305323735,0.000699249355816531,0.26606437988819004
983404800000.0,0.2898388579859521,0.000699249355816531,0.2905381073417686
986083200000.0,0.31745920754070506,0.000699249355816531,0.31815845689652156
988675200000.0,0.3419329349942836,0.000699249355816531,0.3426321843501002
991353600000.0,0.36430891438041263,0.000699249355816531,0.3650081637362292
993945600000.0,0.38423752102118375,0.0010488740337247964,0.3852863950549086
996624000000.0,0.4052150016956797,0.003146622101174389,0.4083616237968541
999302400000.0,0.4258428576922674,0.005244370168623982,0.4310872278608913
1001894400000.0,0.4576587033819195,0.007342118236073575,0.4650008216179931
1004572800000.0,0.48492942825876423,0.009439866303523168,0.4943692945622874
1007164800000.0,0.512200153135609,0.011537614370972761,0.5237377675065816
1009843200000.0,0.5401701273682702,0.014334611794238885,0.5545047391625091
1012521600000.0,0.5632453561102156,0.015733110505871947,0.5789784666160877
1014940800000.0,0.6041514434254828,0.01783085857332154,0.6219823019988043
1017619200000.0,0.6670838854489706,0.019928606640771132,0.6870124920897417
1020211200000.0,0.7380576950643484,0.024473727453578585,0.762531422517927
1022889600000.0,0.8083322553239097,0.026571475521028176,0.834903730844938
1025481600000.0,0.8890955559207191,0.02866922358847777,0.9177647795091969
1028160000000.0,0.9681107331279871,0.03076697165592736,0.9988777047839145
1030838400000.0,1.0506221571143377,0.032864719723376956,1.0834868768377146
1033430400000.0,1.1345320798123215,0.03496246779082655,1.169494547603148
1036108800000.0,1.2215886246114795,0.03706021585827614,1.2586488404697558
1038700800000.0,1.303750423919922,0.039157963925725736,1.3429083878456476
1041379200000.0,1.39080696871908,0.04125571199317533,1.4320626807122554
1044057600000.0,1.4722695186717059,0.04335346006062492,1.5156229787323308
1046476800000.0,1.559326063470864,0.04545120812807451,1.6047772715989386
1049155200000.0,1.6446344848804808,0.04754895619552411,1.6921834410760048
1051747200000.0,1.7414805206610704,0.0496467042629737,1.791127224924044
1054425600000.0,1.8421724278986509,0.05174445233042329,1.893916880229074
1057017600000.0,1.9400673377129651,0.05384220039787288,1.993909538110838
1059696000000.0,2.034815625426105,0.05593994846532248,2.0907555738914274
1062374400000.0,2.1260676663601625,0.05803769653277207,2.1841053628929346
1064966400000.0,2.218718206005853,0.06013544460022166,2.2788536506060746
1067644800000.0,2.3036770027375613,0.06223319266767126,2.3659101954052324
1070236800000.0,2.387237300757637,0.06328206670139605,2.450519367459033
1072915200000.0,2.471846472811437,0.06537981476884565,2.5372262875802827
1075593600000.0,2.5578541435768702,0.06537981476884565,2.623233958345716
1078099200000.0,2.66274154694935,0.06537981476884565,2.7281213617181956
1080777600000.0,2.764831952898563,0.06537981476884565,2.830211767667409
1083369600000.0,2.8665727341698686,0.06537981476884565,2.9319525489387144
1086048000000.0,2.97111051286444,0.06572943944675391,3.036839952311194
1088640000000.0,3.083340034472993,0.06642868880257044,3.149768723275564
1091318400000.0,3.2137500393327763,0.06642868880257044,3.2801787281353465
1093996800000.0,3.3389156740239354,0.06642868880257044,3.4053443628265057
1096588800000.0,3.466179056782544,0.06642868880257044,3.5326077455851146
1099267200000.0,3.5934424395411524,0.06642868880257044,3.659871128343723
1101859200000.0,3.7266494418242018,0.06642868880257044,3.793078130626772
1104537600000.0,3.863702315564242,0.06642868880257044,3.930131004366812
1107216000000.0,3.9906160736449423,0.06642868880257044,4.0570447624475126
1109635200000.0,4.126969698029166,0.06642868880257044,4.193398386831736
1112313600000.0,4.265770695158747,0.06642868880257044,4.332199383961317
1114905600000.0,4.4231018002174665,0.06747756283629523,4.490579363053762
1117584000000.0,4.584628401411085,0.0688760615479283,4.653504462959013
1120176000000.0,4.770279105380374,0.0688760615479283,4.839155166928302
1122854400000.0,4.9517343132147635,0.0688760615479283,5.0206103747626925
1125532800000.0,5.13004289894798,0.0688760615479283,5.198918960495908
1128124800000.0,5.318490600340534,0.06957531090374483,5.388065911244279
1130803200000.0,5.508336800444723,0.07027456025956136,5.578611360704284
1133395200000.0,5.709720614919884,0.07202268364910269,5.781743298568986
1136073600000.0,5.910405180039228,0.07551893042818535,5.985924110467413
1138752000000.0,6.08521751899336,0.07761667849563493,6.162834197488996
1141171200000.0,6.2852028347568885,0.07971442656308453,6.364917261319973
1143849600000.0,6.4746994101831685,0.08216179930844239,6.55686120949161
1146441600000.0,6.675733599980421,0.08356029802007545,6.759293898000497
1149120000000.0,6.888305404148646,0.08530842140961678,6.973613825558263
1151712000000.0,7.100527583638963,0.0870565447991581,7.187584128438122
1154390400000.0,7.306456518926932,0.0891542928666077,7.3956108117935395
1157068800000.0,7.501547089199744,0.0912520409340573,7.592799130133801
1159660800000.0,7.7025812789969965,0.09404903835732341,7.79663031735432
1162339200000.0,7.90746134025124,0.09544753706895648,8.002908877320197
1164931200000.0,8.12527751458809,0.09649641110268127,8.221773925690771
1167609600000.0,8.36092454749826,0.09789490981431434,8.458819457312575
1170288000000.0,8.579090346513018,0.09964303320385566,8.678733379716874
1172707200000.0,8.821030623625537,0.10104153191548872,8.922072155541027
1175385600000.0,9.054230283790352,0.10244003062712179,9.156670314417473
1177977600000.0,9.29022694137843,0.1041881540166631,9.394415095395093
1180656000000.0,9.511189737816453,0.1062859020841127,9.617475639900567
1183248000000.0,9.733201408288203,0.10803402547365404,9.841235433761856
1185926400000.0,9.949968708591328,0.11292877096436975,10.062897479555698
1188604800000.0,10.156247268557204,0.11677464242136067,10.273021910978564
1191196800000.0,10.365672450624254,0.11957163984462679,10.485244090468882
1193875200000.0,10.551323154593543,0.13635362438422355,10.704458763517364
1196467200000.0,10.738721981952374,0.14544386600983844,10.913534320906507
1199145600000.0,10.931365179479828,0.1548837323133616,11.128203873142182
1201824000000.0,11.11247076263631,0.16327472458315997,11.343922299411581
1204329600000.0,11.316651574534736,0.16991759346341703,11.587261075235734
1207008000000.0,11.51733613965408,0.17551158830994926,11.825005856213355
1209600000000.0,11.71906957880715,0.1811055831564815,12.0637995112247
1212278400000.0,11.92255114134976,0.18809807671464682,12.308886410438394
1214870400000.0,12.147709433922683,0.19334244688327082,12.577048538394035
1217548800000.0,12.358533114701368,0.21012443142286755,12.844511416993857
1220227200000.0,12.553274060296271,0.21781617433684938,13.084703570716835
1222819200000.0,12.75116162799235,0.22445904321710644,13.328042346540988
1225497600000.0,12.936113082605823,0.23319966016481308,13.55949388331626
1228089600000.0,13.133301400946085,0.25487639019512554,13.819265019002101
1230768000000.0,13.329440845252622,0.2702598760230892,14.070645162418144
1233446400000.0,13.505651682918387,0.2866922358847777,14.295803454991066
1235865600000.0,13.715426489663347,0.3017260970348331,14.555224965999
1238544000000.0,13.917159928816416,0.3157110841511637,14.802409613280144
1241136000000.0,14.134276853797449,0.32899682191167784,15.064278497033435
1243814400000.0,14.342303537152866,0.34158331031637534,15.30901577156922
1246406400000.0,14.55312721793155,0.35486904807688946,15.55515154481664
1249084800000.0,14.760105027253244,0.36675628712577046,15.796042947895435
1251763200000.0,14.955195597526055,0.3789931508525598,16.025396736603255
1254355200000.0,15.15413203925586,0.39018114054562425,16.257547522734345
1257033600000.0,15.338733869191422,0.3999706315270557,16.47396519835956
1259625600000.0,15.545362053835207,0.412207495253845,16.71590547547208
1262304000000.0,15.753388737190626,0.42409473430272604,16.9578457525846
1264982400000.0,15.938689816482007,0.4342338499620657,17.174263428209816
1267401600000.0,16.14322025305834,0.4475195877225798,17.41515483128861
1270080000000.0,16.332367203806715,0.46115495016100216,17.6473056174197
1272672000000.0,16.525360026012077,0.4789858087343237,17.8969376374462
1275350400000.0,16.71835284821744,0.4901737984273882,18.15356215103087
1277942400000.0,16.91379304316816,0.501711412798361,18.424521276409774
1280620800000.0,17.097345999069997,0.5125497778135172,18.68499166145143
1283299200000.0,17.268662091245048,0.5230385181507652,18.929728935987217
1285891200000.0,17.461305288772504,0.5335272584880131,19.20313543411148
1288569600000.0,17.648704116131334,0.5440159988252611,19.470248688033397
1291161600000.0,17.846591683827413,0.5566024872299586,19.748899556326283
1293840000000.0,18.038885256676956,0.5681401016009314,20.023005303806364
1296518400000.0,18.204956978683384,0.5782792172602711,20.262148583495616
1298937600000.0,18.386412186517774,0.5891175822754273,20.5194723464361
1301616000000.0,18.56472077225099,0.5985574485789505,20.772250988563776
1304208000000.0,18.754916597033084,0.6086965642382902,21.0439093632985
1306886400000.0,18.94126655035819,0.6184860552197217,21.30822561979715
1309478400000.0,19.14090224144381,0.6289747955569696,21.60855321812035
1312156800000.0,19.351376297544586,0.6401627852500341,21.93300491921922
1314835200000.0,19.54821499120694,0.6513507749430986,22.237528013677316
1317427200000.0,19.744354435513475,0.6625387646361631,22.546596228948225
1320105600000.0,19.9527307435468,0.6733771296513194,22.863356187133114
1322697600000.0,20.171945416595285,0.684914744022292,23.203191374059948
1325376000000.0,20.387663842864686,0.6968019830711731,23.530440072582085
1328054400000.0,20.596739400253828,0.7076403480863294,23.846850406089064
1330560000000.0,20.830987934452367,0.7188283377793938,24.18983221511707
1333238400000.0,21.058593599770646,0.7303659521503666,24.520227535740382
1335830400000.0,21.292142884613366,0.7426028158771558,24.858314599277676
1338508800000.0,21.508560560238585,0.7597344250946609,25.18206705102073
1341100800000.0,21.755745207519727,0.7859562759377808,25.58868055142804
1343779200000.0,21.98509899622755,0.8132270008146255,25.969072200992233
1346457600000.0,22.211655787512107,0.8380503529461123,26.346317228455252
1349049600000.0,22.445554697032737,0.8817534376846455,26.809569926683704
1351728000000.0,22.68260022865454,0.937693386149968,27.345894182594986
1354320000000.0,22.935029246104307,0.9974792060722814,27.911936536128465
1356998400000.0,23.18466126613081,1.0530695298596957,28.48357288450848
1359676800000.0,23.429398540666593,1.1041147328343024,29.07408896549554
1362096000000.0,23.695113295876876,1.1659983008240653,29.744669097723595
1364774400000.0,23.926564832652147,1.2831225679233342,30.544260736099798
1367366400000.0,24.128298271805217,1.4677243978588985,31.504330101635894
1370044800000.0,24.333877582415276,1.6642134668433437,32.51369654675705
1372636800000.0,24.552043381430035,1.8218941965799713,33.3699273829544
1375315200000.0,24.766013684309893,1.95719894693047,34.14084979774212
1377993600000.0,24.97438999234322,2.0799172088762714,34.85163676792963
1380585600000.0,25.18591292247772,2.2854965194863315,35.89806342890907
1383264000000.0,25.38554861356334,2.442827624545051,36.7371626558889
1385856000000.0,25.596372294342025,2.5617000150338614,37.425573646690275
1388534400000.0,25.796357610105552,2.6886137731145614,38.125871876540536
1391212800000.0,25.99214742973418,2.8151779065173534,38.82966635316987
1393632000000.0,26.19388086888725,2.9602721478492837,39.601288017313415
1396310400000.0,26.38757294044843,3.0903325280311584,40.30578174329857
1398902400000.0,26.595249999125937,3.2113026665874185,40.99314386006622
1401580800000.0,26.813066173462786,3.33192318046577,41.73644592529919
1404172800000.0,27.041371088136884,3.4784159205093332,42.606312123934956
1406851200000.0,27.26583013135399,3.6004349330993177,43.37758416340059
1409529600000.0,27.485044804402474,3.7161607014869538,44.10375461941606
1412121600000.0,27.7018121047056,3.846920331024645,44.85929354837582
1414800000000.0,27.91158691145056,3.9776799605623365,45.57847151083312
1417392000000.0,28.15073019113981,4.126969698029166,46.380160897276774
1420070400000.0,28.385677974694165,4.309124155219372,47.282891815635914
1422748800000.0,28.603843773708924,4.496173357900294,48.18632198335087
1425168000000.0,28.85802091454823,4.691613552851014,49.157229713902126
1427846400000.0,29.111498806031726,4.893696616681992,50.152960796584864
1430438400000.0,29.402036913373493,5.17024973690743,51.488876690872345
1433116800000.0,29.677541159565205,5.394708780124536,52.58984480160548
1435708800000.0,29.972274763041874,5.599239216700871,53.63242559112793
1438387200000.0,30.260365497638286,5.788735792127151,54.59669045279892
1441065600000.0,30.54950510626842,5.972288748028991,55.51934997779883
1443657600000.0,30.84179133699973,6.190804171721656,56.585005996063224
1446336000000.0,31.12044220529262,6.436240695613259,57.723733572010445
1448928000000.0,31.3987434489076,6.705102072924715,58.91979959513462
1451606400000.0,31.670751448320228,6.9463431006814185,59.99839172648162
1454284800000.0,31.92842483593862,7.1463284164449465,60.91405875792337
1456790400000.0,32.19763583792798,7.3529566010887315,61.86084238569895
1459468800000.0,32.46649721523944,7.555389289597617,62.81147188493153
1462060800000.0,32.74479845885442,7.751878358582062,63.7449697749466
1464739200000.0,33.007366591963525,7.942423808042067,64.62252771649634
1467331200000.0,33.28252121347733,8.118634645707832,65.48575104625185
1470009600000.0,33.55557808692369,8.283307869002625,66.2874404326955
1472688000000.0,33.82339059020142,8.453575087143951,67.11570129466018
1475280000000.0,34.09959408574895,8.6713912614808,68.14569559577794
1477958400000.0,34.36775621370459,8.888508186461832,69.16939665269334
1480550400000.0,34.642910835218395,9.11261760500103,70.21966918512976
1483228800000.0,34.9180654567322,9.343719517098394,71.26679509546501
1485907200000.0,35.150915492219106,9.584261295499282,72.21218022452896
1488326400000.0,35.37747228350366,9.84263393247349,73.09043741543454
1491004800000.0,35.589344838316066,10.142611906118782,74.03652179385429
1493596800000.0,35.798070771027305,10.434548512172183,74.95253844997396
1496275200000.0,35.98896584516522,10.726485118225584,75.86435960995871
1498867200000.0,36.190349659640376,10.991150999402143,76.77827851801092
1501545600000.0,36.38858685201436,11.28798235094626,77.85127665451138
1504224000000.0,36.57318868194993,11.58621220120201,78.88581607644194
1506816000000.0,36.75848976124131,11.880596180000769,79.86056967845019
1509494400000.0,36.908478748063956,12.143863562465693,80.62939434517045
1512086400000.0,37.050775991972614,12.429157299638838,81.46289957730376
1514764800000.0,37.18643036700102,12.712702913422442,82.27542732876258
1517443200000.0,37.305302757489834,12.961286059415217,82.99006017040706
1519862400000.0,37.42802101943563,13.223504567846417,83.67602378846308
1522540800000.0,37.53570542023138,13.494463693225322,84.31478807500149
1525132800000.0,37.616119096150285,13.794441666870615,84.90705227937809
1527811200000.0,37.69023952786684,14.104558756175246,85.58077903370732
1530403200000.0,37.76261183619385,14.367476513962261,86.18458085245489
1533081600000.0,37.83008939903014,14.677593603266892,86.90655581233545
1535760000000.0,37.89337146573154,14.997500183552956,87.65894811919405
1538352000000.0,37.94022117257124,15.435230280294105,88.70048003468277
1541030400000.0,37.97763101310743,15.819817425993197,89.56300411508246
1543622400000.0,38.01643935235525,16.191468458609684,90.40455071480766
1546300800000.0,38.04895444740072,16.555078123634278,91.24959356131193
1548979200000.0,38.07762367098919,16.92008628737051,92.06247093744865
1551398400000.0,38.099300401019505,17.408162337730445,93.07778100209426
1554076800000.0,38.10594326989976,17.87106541128099,93.98260966852084
1556668800000.0,38.10908989200094,18.28816765202555,94.7675170704249
1559347200000.0,38.11048839071257,18.701074396635214,95.5583680918534
1561939200000.0,38.111886889424206,19.10419165026344,96.33103863003066
1564617600000.0,38.112236514102115,19.525139762464995,97.13832201132085
1567296000000.0,38.112236514102115,19.936648008363022,97.92847378339353
1569888000000.0,38.112236514102115,20.381720223340245,98.76547526230591
1572566400000.0,38.112236514102115,20.812807451201135,99.59513462298223
